name,alpha_rot,beta_rot,depth
IM_0669,0.0,22.0,10.1
IM_0671,0.0,45.0,10.1
IM_0673,0.0,67.0,10.1
IM_0675,0.0,90.0,10.1
IM_0677,0.0,0.0,10.1
IM_0679,0.0,-22.0,10.1
IM_0681,0.0,-45.0,10.1
IM_0683,0.0,-67.0,10.1
IM_0685,0.0,-90.0,10.1
IM_0687,0.0,0.0,12.3
IM_0689,0.0,22.0,12.3
IM_0691,0.0,45.0,12.3
IM_0693,0.0,67.0,12.3
IM_0695,0.0,90.0,12.3
IM_0697,0.0,-22.0,12.3
IM_0699,0.0,-45.0,12.3
IM_0701,0.0,-67.0,12.3
IM_0703,0.0,-90.0,12.3
IM_0705,15.0,0.0,12.3
IM_0707,15.0,90.0,12.3
IM_0708,15.0,90.0,12.3
IM_0709,15.0,90.0,12.3
IM_0710,15.0,90.0,12.3
IM_0711,15.0,90.0,12.3
IM_0712,15.0,90.0,12.3
IM_0713,15.0,90.0,12.3
IM_0721,15.0,80.0,12.3
IM_0722,15.0,80.0,12.3
IM_0723,15.0,80.0,12.3
IM_0724,15.0,80.0,12.3
IM_0725,15.0,80.0,12.3
IM_0726,15.0,80.0,12.3
IM_0733,15.0,100.0,12.3
IM_0734,15.0,100.0,12.3
IM_0735,15.0,100.0,12.3
IM_0736,15.0,100.0,12.3
IM_0737,15.0,100.0,12.3
IM_0738,15.0,100.0,12.3
IM_0746,15.0,110.0,12.3
IM_0747,15.0,110.0,12.3
IM_0748,15.0,110.0,12.3
IM_0749,15.0,110.0,12.3
IM_0750,15.0,110.0,12.3
IM_0751,15.0,110.0,12.3
IM_0758,15.0,70.0,12.3
IM_0759,15.0,70.0,12.3
IM_0760,15.0,70.0,12.3
IM_0761,15.0,70.0,12.3
IM_0762,15.0,70.0,12.3
IM_0763,15.0,70.0,12.3
